condition	subject	trial	VOT	item	response
N	1	1	40	BEACH	0
N	1	3	10	BEAK	0
N	1	5	60	BEAK	0
N	1	9	60	BEACH	1
N	1	12	70	BEACH	1
N	1	13	-10	BEES	0
N	1	15	60	BEAK	1
N	1	20	50	BEACH	1
N	1	21	40	BEES	1
N	1	23	50	BEES	1
N	1	25	60	BEACH	1
N	1	27	10	BEES	0
N	1	30	10	BEAK	0
N	1	32	40	BEES	1
N	1	34	50	BEAK	1
N	1	37	0	BEAK	0
N	1	39	50	BEES	1
N	1	40	40	BEES	1
N	1	41	60	BEES	1
N	1	42	10	BEACH	0
N	1	46	50	BEAK	1
N	1	47	50	BEAK	1
N	1	49	-10	BEAK	0
N	1	50	50	BEAK	1
N	1	51	40	BEAK	1
N	1	52	60	BEAK	1
N	1	53	40	BEAK	1
N	1	55	-10	BEACH	0
N	1	57	40	BEACH	1
N	1	58	50	BEACH	1
N	1	59	50	BEACH	1
N	1	60	40	BEACH	1
N	1	61	0	BEAK	0
N	1	62	-10	BEAK	0
N	1	63	50	BEES	1
N	1	64	0	BEES	0
N	1	65	10	BEACH	0
N	1	67	40	BEACH	1
N	1	70	10	BEAK	0
N	1	78	60	BEES	1
N	1	80	50	BEES	1
N	1	81	70	BEES	1
N	1	82	0	BEACH	0
N	1	83	60	BEACH	1
N	1	84	20	BEAK	0
N	1	85	10	BEAK	0
N	1	86	50	BEACH	1
N	1	88	40	BEAK	1
N	1	89	60	BEACH	1
N	1	94	50	BEAK	1
N	1	96	60	BEACH	1
N	1	97	-20	BEACH	0
N	1	98	60	BEES	1
N	1	100	50	BEACH	1
N	1	101	0	BEACH	0
N	1	102	40	BEAK	1
N	1	104	10	BEES	0
N	1	109	50	BEACH	1
N	1	110	50	BEES	1
N	1	113	50	BEACH	1
N	1	114	50	BEES	1
N	1	118	50	BEAK	1
N	1	119	50	BEES	1
N	1	121	50	BEAK	1
N	1	125	0	BEES	0
N	1	126	-10	BEACH	0
N	1	127	10	BEACH	0
N	1	128	0	BEAK	0
N	1	130	0	BEAK	0
N	1	132	50	BEACH	1
N	1	133	20	BEACH	0
N	1	137	10	BEACH	0
N	1	139	60	BEAK	1
N	1	140	0	BEES	0
N	1	141	0	BEES	0
N	1	143	-10	BEES	0
N	1	144	30	BEAK	1
N	1	147	-10	BEES	0
N	1	148	-10	BEAK	0
N	1	149	10	BEES	0
N	1	157	50	BEACH	1
N	1	158	20	BEES	0
N	1	159	50	BEACH	1
N	1	163	50	BEES	1
N	1	167	10	BEAK	0
N	1	168	0	BEES	0
N	1	169	50	BEES	1
N	1	173	40	BEES	1
N	1	174	50	BEES	1
N	1	175	30	BEES	1
N	1	176	50	BEACH	1
N	1	182	0	BEAK	0
N	1	184	50	BEAK	1
N	1	186	40	BEAK	1
N	1	187	50	BEAK	1
N	1	189	60	BEAK	1
N	1	194	0	BEACH	0
N	1	195	10	BEAK	0
N	1	196	-10	BEACH	0
N	1	197	-10	BEES	0
N	1	201	0	BEES	0
N	1	202	40	BEAK	1
N	1	203	50	BEES	1
N	1	204	50	BEAK	1
N	1	205	60	BEES	1
N	1	206	40	BEAK	1
N	1	209	0	BEACH	0
N	1	213	50	BEES	1
N	1	216	60	BEES	1
N	1	218	0	BEAK	0
N	1	219	40	BEES	0
N	1	220	50	BEAK	1
N	1	224	10	BEAK	0
N	1	226	10	BEES	0
N	1	227	40	BEACH	1
N	1	229	0	BEES	0
N	1	231	50	BEAK	1
N	1	232	0	BEAK	0
N	1	233	0	BEACH	0
N	1	235	0	BEACH	0
N	1	236	60	BEACH	1
N	1	237	50	BEAK	1
N	1	239	10	BEACH	0
N	1	241	0	BEES	0
N	1	243	50	BEAK	1
N	1	245	0	BEAK	0
N	1	247	40	BEES	1
N	1	249	60	BEES	1
N	1	250	40	BEES	1
N	1	253	10	BEACH	0
N	1	261	-10	BEACH	0
N	1	262	50	BEACH	1
N	1	263	0	BEAK	0
N	1	266	40	BEES	1
N	1	269	0	BEAK	0
N	1	270	40	BEAK	1
N	1	273	0	BEES	0
N	1	274	-10	BEAK	0
N	1	275	0	BEACH	0
N	1	277	0	BEACH	0
N	1	279	70	BEAK	1
N	1	281	60	BEES	1
N	1	282	50	BEACH	1
N	1	284	10	BEACH	0
N	1	286	0	BEACH	0
N	1	287	10	BEES	0
N	1	288	10	BEAK	0
N	1	290	60	BEAK	1
N	1	295	-10	BEAK	0
N	1	296	60	BEES	1
N	1	298	-10	BEES	0
N	1	299	-10	BEACH	0
N	1	301	60	BEAK	1
N	1	305	50	BEES	1
N	1	307	50	BEES	1
N	1	308	0	BEAK	0
N	1	309	50	BEAK	1
N	1	310	60	BEAK	1
N	1	312	0	BEES	0
N	1	316	-20	BEAK	0
N	1	320	0	BEACH	0
N	1	321	0	BEACH	0
N	1	322	0	BEACH	0
N	1	323	50	BEES	1
N	1	328	-10	BEACH	0
N	1	332	0	BEAK	0
N	1	335	0	BEES	0
N	1	338	30	BEACH	1
N	1	339	0	BEACH	0
N	1	341	40	BEES	1
N	1	342	50	BEES	1
N	1	343	-10	BEES	0
N	1	344	60	BEACH	1
N	1	346	60	BEES	1
N	1	348	0	BEAK	0
N	1	350	10	BEACH	0
N	1	351	40	BEACH	1
N	1	353	10	BEES	0
N	1	355	-10	BEAK	0
N	1	357	10	BEES	0
N	1	358	50	BEACH	1
N	1	360	40	BEACH	1
N	1	362	50	BEAK	1
N	1	364	10	BEES	0
N	1	366	-10	BEES	0
N	1	368	-10	BEAK	0
N	1	371	0	BEAK	0
N	1	375	50	BEACH	1
N	1	377	0	BEES	0
N	1	379	-10	BEACH	0
N	1	380	50	BEES	1
N	1	382	0	BEAK	0
N	1	384	50	BEAK	1
N	1	385	-10	BEAK	0
N	1	387	0	BEES	0
N	1	388	0	BEACH	0
N	1	389	0	BEACH	0
N	1	390	0	BEES	0
N	1	391	-10	BEACH	0
N	1	397	50	BEES	1
N	1	400	10	BEES	0
N	1	403	-10	BEES	0
N	1	405	0	BEAK	0
N	1	409	0	BEAK	0
N	1	410	-10	BEES	0
N	1	412	40	BEACH	1
N	1	413	0	BEACH	0
N	1	414	0	BEES	0
N	1	415	0	BEES	0
N	1	419	0	BEACH	0
N	1	421	60	BEACH	1
N	1	423	60	BEACH	1
N	1	424	-10	BEACH	0
N	1	428	-10	BEAK	0
N	1	430	50	BEACH	1
N	1	431	0	BEACH	0
N	1	432	50	BEACH	1
N	1	433	60	BEAK	1
N	1	436	-20	BEES	0
N	1	438	0	BEAK	0
N	1	439	0	BEES	0
N	1	440	50	BEAK	1
N	1	442	40	BEACH	1
N	1	444	10	BEACH	0
N	1	446	10	BEAK	0
N	1	450	50	BEACH	1
N	1	451	0	BEES	0
N	1	456	40	BEAK	1
N	3	3	-10	BEACH	0
N	3	4	-10	BEAK	0
N	3	7	60	BEES	1
N	3	8	0	BEACH	0
N	3	9	60	BEES	1
N	3	13	-10	BEAK	0
